country,region,year,birthrate,businesstaxrate,co2emissions,daystostartbusiness,easeofbusiness,energyusage,gdp,gdppercapita,healthexpgdp,healthexpcapita,hourstodotax,infantmortalityrate,internetusage,lendinginterest,lifeexpectancy,lifeexpectancyfemale,lifeexpectancymale,mobilephoneusage,numberofrecords,population0-14,population15-64,population65+,populationtotal,populationurban,tourisminbound,tourismoutbound
Armenia,Asia,12/1/2000,0.01,,3465,,,2015,$2B,$621 ,6.30%,$39 ,,0.027,0.01,0.316,72,75,68,1%,1,0.259,0.641,0.1,3.1M,64.70%,$0B,$0B
Azerbaijan,Asia,12/1/2000,0.02,,29508,,,11296,$5B,$655 ,4.70%,$30 ,,0.061,0.00,0.197,67,70,64,5%,1,0.311,0.633,0.056,8.0M,51.40%,$0B,$0B
Bangladesh,Asia,12/1/2000,0.03,,27869,,,18591,$47B,$356 ,2.80%,$10 ,,0.064,0.00,0.155,66,66,65,0%,1,0.37,0.59,0.041,132.4M,23.60%,$0B,$0B
Bhutan,Asia,12/1/2000,0.03,,400,,,,$0B,$778 ,6.70%,$52 ,,0.059,0.00,0.16,60,60,60,,1,0.406,0.556,0.038,0.6M,25.40%,$0B,
Brunei,Asia,12/1/2000,0.02,,6527,,,2385,$6B,"$18,087 ",3.00%,$543 ,,0.008,0.09,0.055,76,78,74,29%,1,0.304,0.668,0.028,0.3M,71.20%,,
Cambodia,Asia,12/1/2000,0.03,,1977,,,3412,$4B,$299 ,6.30%,$19 ,,0.082,0.00,,62,65,59,1%,1,0.408,0.554,0.038,12.2M,18.60%,$0B,$0B
China,Asia,12/1/2000,0.01,,3405180,,,1161353,"$1,200B",$950 ,4.60%,$43 ,,0.03,0.02,0.059,73,74,71,7%,1,0.256,0.675,0.069,"1,262.6M",35.90%,$17B,$14B
Georgia,Asia,12/1/2000,0.01,,4536,,,2869,$3B,$692 ,6.90%,$45 ,,0.031,0.01,0.247,72,75,68,4%,1,0.219,0.656,0.125,4.4M,52.60%,$0B,$0B
Hong Kong SAR,Asia,12/1/2000,0.01,,40465,,,13392,$172B,"$25,806 ",,,,,0.28,0.095,81,84,78,80%,1,0.173,0.717,0.11,6.7M,100.00%,$8B,$13B
India,Asia,12/1/2000,0.03,,1186663,,,457198,$477B,$458 ,4.30%,$20 ,,0.067,0.01,0.123,62,63,61,0%,1,0.342,0.614,0.044,"1,042.3M",27.70%,$4B,$4B
Indonesia,Asia,12/1/2000,0.02,,263419,,,154768,$165B,$790 ,2.00%,$15 ,,0.041,0.01,0.185,67,69,65,2%,1,0.307,0.647,0.047,208.9M,42.00%,$5B,$3B
Japan,Asia,12/1/2000,0.01,,1219589,,,518964,"$4,730B","$37,282 ",7.60%,"$2,834 ",,0.003,0.30,0.021,82,85,78,53%,1,0.146,0.682,0.172,126.9M,78.60%,$6B,$43B
Kazakhstan,Asia,12/1/2000,0.02,,127769,,,35679,$18B,"$1,229 ",4.20%,$52 ,,0.038,0.01,,66,71,60,1%,1,0.277,0.655,0.068,14.9M,55.70%,$0B,$0B
North Korea,Asia,12/1/2000,0.02,,76699,,,19717,,,,,,0.045,,,65,69,61,,1,0.26,0.681,0.059,22.8M,59.40%,,
South Korea,Asia,12/1/2000,0.01,,447561,,,188161,$562B,"$11,955 ",4.30%,$491 ,,0.005,0.45,0.085,76,80,72,58%,1,0.21,0.717,0.073,47.0M,79.60%,$9B,$8B
Kyrgyzstan,Asia,12/1/2000,0.02,,4529,,,2317,$1B,$280 ,4.70%,$13 ,,0.042,0.01,0.519,69,72,65,0%,1,0.35,0.596,0.055,4.9M,35.30%,$0B,$0B
Laos,Asia,12/1/2000,0.03,,972,,,,$2B,$321 ,3.30%,$11 ,,0.083,0.00,0.32,62,63,60,0%,1,0.435,0.529,0.036,5.4M,22.00%,$0B,$0B
Macao SAR,Asia,12/1/2000,0.01,,1635,,,,$6B,"$14,128 ",,,,,0.14,0.099,78,80,75,33%,1,0.228,0.698,0.074,0.4M,100.00%,$3B,
Malaysia,Asia,12/1/2000,0.02,,126603,,,47110,$94B,"$4,005 ",3.00%,$120 ,,0.009,0.21,0.077,73,75,71,22%,1,0.333,0.628,0.038,23.4M,62.00%,$6B,$3B
Maldives,Asia,12/1/2000,0.03,,499,,,,$1B,"$2,289 ",7.10%,$162 ,,0.035,0.02,0.13,70,70,69,3%,1,0.413,0.549,0.038,0.3M,27.70%,$0B,$0B
Mongolia,Asia,12/1/2000,0.02,,7506,,,2397,$1B,$474 ,4.70%,$22 ,,0.049,0.01,0.37,63,66,60,6%,1,0.348,0.615,0.037,2.4M,57.10%,$0B,$0B
Myanmar,Asia,12/1/2000,0.02,,10088,,,12841,,,2.10%,$3 ,,0.059,,0.153,62,64,60,0%,1,0.307,0.645,0.047,48.5M,27.00%,$0B,$0B
Nepal,Asia,12/1/2000,0.03,,3234,,,8108,$5B,$237 ,5.00%,$12 ,,0.06,0.00,0.095,62,63,61,0%,1,0.404,0.558,0.038,23.2M,13.40%,$0B,$0B
Pakistan,Asia,12/1/2000,0.03,,106449,,,64067,$74B,$514 ,3.00%,$15 ,,0.088,,,64,65,63,0%,1,0.415,0.546,0.039,143.8M,33.20%,$1B,$1B
Philippines,Asia,12/1/2000,0.03,,73307,,,39872,$81B,"$1,043 ",3.20%,$33 ,,0.03,0.02,0.109,67,70,64,8%,1,0.385,0.583,0.032,77.7M,48.00%,$2B,$2B
Singapore,Asia,12/1/2000,0.01,,49006,,,18692,$96B,"$23,793 ",2.70%,$662 ,,0.003,0.36,0.058,78,80,76,70%,1,0.215,0.712,0.073,4.0M,100.00%,$5B,$5B
Sri Lanka,Asia,12/1/2000,0.02,,10161,,,8327,$16B,$855 ,3.70%,$32 ,,0.014,0.01,0.162,72,75,68,2%,1,0.269,0.669,0.063,19.1M,18.40%,$0B,$0B
Tajikistan,Asia,12/1/2000,0.03,,2237,,,2149,$1B,$139 ,4.60%,$6 ,,0.075,0.00,0.256,64,68,60,0%,1,0.429,0.536,0.035,6.2M,26.50%,,
Thailand,Asia,12/1/2000,0.02,,188355,,,72284,$123B,"$1,973 ",3.40%,$67 ,,0.019,0.04,0.078,71,75,67,5%,1,0.242,0.693,0.066,62.3M,31.40%,$10B,$3B
Timor-Leste,Asia,12/1/2000,0.04,,,,,,$0B,$410 ,5.10%,$19 ,,0.084,,,60,61,58,,1,0.498,0.479,0.024,0.9M,24.30%,,
Turkmenistan,Asia,12/1/2000,0.02,,35365,,,14871,$3B,$645 ,3.90%,$44 ,,0.066,0.00,,64,68,60,0%,1,0.363,0.594,0.043,4.5M,45.90%,,
Uzbekistan,Asia,12/1/2000,0.02,,119951,,,50757,$14B,$558 ,5.30%,$29 ,,0.053,0.01,,67,70,64,0%,1,0.373,0.584,0.043,24.7M,37.40%,$0B,
Vietnam,Asia,12/1/2000,0.02,,53645,,,28736,$34B,$433 ,5.30%,$20 ,,0.027,0.00,0.106,74,78,69,1%,1,0.316,0.62,0.064,77.6M,24.40%,,
Albania,Europe,12/1/2000,0.02,,3022,,,1763,$4B,"$1,193 ",6.40%,$70 ,,0.023,0.00,0.221,74,77,71,1%,1,0.303,0.628,0.068,3.1M,41.70%,$0B,$0B
Andorra,Europe,12/1/2000,0.01,,524,,,,$1B,"$17,334 ",6.20%,"$1,330 ",,0.004,0.11,,,,,36%,1,,,,0.1M,92.40%,,
Austria,Europe,12/1/2000,0.01,,63696,,,28558,$192B,"$23,965 ",10.00%,"$2,403 ",,0.005,0.34,,78,81,75,76%,1,0.17,0.675,0.155,8.0M,65.80%,$11B,$7B
Belarus,Europe,12/1/2000,0.01,,53469,,,24695,$13B,"$1,273 ",6.10%,$64 ,,0.011,0.02,0.677,69,75,63,1%,1,0.186,0.679,0.134,10.0M,70.00%,$0B,$0B
Belgium,Europe,12/1/2000,0.01,,115709,,,58508,$233B,"$22,729 ",8.10%,"$1,845 ",,0.005,0.29,0.08,78,81,75,55%,1,0.176,0.655,0.169,10.3M,97.10%,$7B,$9B
Bosnia and Herzegovina,Europe,12/1/2000,0.01,,23223,,,4346,$6B,"$1,436 ",7.10%,$103 ,,0.008,0.01,0.305,75,77,72,2%,1,0.202,0.691,0.107,3.8M,39.30%,$0B,$0B
Bulgaria,Europe,12/1/2000,0.01,,43531,,,18688,$13B,"$1,579 ",6.20%,$98 ,,0.018,0.05,0.113,72,75,68,9%,1,0.157,0.677,0.166,8.2M,68.90%,$1B,$1B
Croatia,Europe,12/1/2000,0.01,,19644,,,7790,$22B,"$4,862 ",7.80%,$377 ,,0.007,0.07,0.121,73,77,69,23%,1,0.172,0.673,0.156,4.4M,55.60%,$3B,$1B
Cyprus,Europe,12/1/2000,0.01,,6850,,,2137,$9B,"$9,875 ",5.80%,$744 ,,0.006,0.15,0.08,78,80,76,23%,1,0.224,0.674,0.102,0.9M,68.60%,$2B,$1B
Czechia,Europe,12/1/2000,0.01,,124649,,,40993,$59B,"$5,734 ",6.30%,$361 ,,0.006,0.10,0.072,75,78,72,42%,1,0.165,0.697,0.138,10.3M,74.00%,$3B,$1B
Denmark,Europe,12/1/2000,0.01,,47260,,,18634,$160B,"$29,965 ",8.70%,"$2,613 ",,0.005,0.39,0.081,77,79,74,63%,1,0.185,0.667,0.149,5.3M,85.10%,$4B,$5B
Estonia,Europe,12/1/2000,0.01,,15181,,,4715,$6B,"$4,063 ",5.30%,$213 ,,0.009,0.29,0.074,71,76,65,41%,1,0.18,0.669,0.152,1.4M,69.40%,$1B,$0B
Faroe Islands,Europe,12/1/2000,,,711,,,,$1B,"$22,850 ",,,,,0.33,,79,82,76,37%,1,,,,0.0M,36.30%,,
Finland,Europe,12/1/2000,0.01,,52141,,,32233,$122B,"$23,569 ",7.20%,"$1,700 ",,0.004,0.37,0.056,78,81,74,72%,1,0.182,0.669,0.149,5.2M,82.20%,$2B,$2B
France,Europe,12/1/2000,0.01,,365560,,,251981,"$1,330B","$21,835 ",10.10%,"$2,209 ",,0.004,0.14,0.067,79,83,75,49%,1,0.189,0.65,0.16,60.9M,75.90%,$39B,$27B
Germany,Europe,12/1/2000,0.01,,829978,,,336584,"$1,890B","$22,989 ",10.40%,"$2,387 ",,0.004,0.30,0.096,78,81,75,58%,1,0.156,0.681,0.163,82.2M,73.10%,$25B,$58B
Greece,Europe,12/1/2000,0.01,,91616,,,27086,$124B,"$11,358 ",7.90%,$918 ,,0.007,0.09,0.123,78,81,75,54%,1,0.152,0.68,0.168,10.9M,72.70%,$9B,$5B
Hungary,Europe,12/1/2000,0.01,,57238,,,24999,$46B,"$4,543 ",7.20%,$326 ,,0.01,0.07,0.126,72,76,67,30%,1,0.168,0.68,0.151,10.2M,64.60%,$4B,$2B
Iceland,Europe,12/1/2000,0.01,,2164,,,3100,$9B,"$30,929 ",9.50%,"$2,961 ",,0.003,0.45,0.168,80,82,78,76%,1,0.233,0.651,0.116,0.3M,92.40%,$0B,$0B
Ireland,Europe,12/1/2000,0.01,,41345,,,13574,$97B,"$25,579 ",6.10%,"$1,572 ",,0.006,0.18,0.048,77,79,74,65%,1,0.218,0.67,0.112,3.8M,59.10%,$4B,$3B
Isle of Man,Europe,12/1/2000,,,,,,,$2B,"$20,359 ",,,,,,,,,,,1,,,,0.1M,51.80%,,
Italy,Europe,12/1/2000,0.01,,451441,,,171522,"$1,100B","$19,318 ",7.90%,"$1,527 ",,0.005,0.23,0.07,80,83,77,74%,1,0.143,0.674,0.183,56.9M,67.20%,$29B,$18B
Kosovo,Europe,12/1/2000,0.02,,,,,1545,$2B,"$1,088 ",,,,,,,68,70,66,,1,,,,1.7M,,,
Latvia,Europe,12/1/2000,0.01,,6241,,,3832,$8B,"$3,309 ",6.00%,$197 ,,0.015,0.06,0.119,71,76,65,17%,1,0.179,0.671,0.15,2.4M,68.10%,$0B,$0B
Liechtenstein,Europe,12/1/2000,0.01,,,,,,$2B,"$75,058 ",,,,,0.37,,77,80,74,30%,1,,,,0.0M,15.10%,,
Lithuania,Europe,12/1/2000,0.01,,12200,,,7131,$11B,"$3,267 ",6.50%,$212 ,,0.01,0.06,0.121,73,78,67,15%,1,0.199,0.662,0.139,3.5M,67.00%,$0B,$0B
Luxembourg,Europe,12/1/2000,0.01,,8240,,,3335,$20B,"$46,453 ",7.50%,"$3,495 ",,0.004,0.23,,78,81,75,70%,1,0.189,0.67,0.141,0.4M,84.20%,$2B,$1B
North Macedonia,Europe,12/1/2000,0.01,,12064,,,2668,$4B,"$1,748 ",8.70%,$153 ,,0.014,0.03,0.189,74,76,71,6%,1,0.224,0.676,0.1,2.1M,58.50%,$0B,$0B
Malta,Europe,12/1/2000,0.01,,2065,,,676,$4B,"$10,377 ",6.60%,$643 ,,0.007,0.13,0.073,78,80,76,28%,1,0.207,0.686,0.107,0.4M,92.40%,$1B,$0B
Moldova,Europe,12/1/2000,0.01,,3513,,,2883,$1B,$354 ,6.70%,$24 ,,0.025,0.01,0.338,67,71,63,3%,1,0.237,0.663,0.1,3.6M,45.80%,$0B,$0B
Monaco,Europe,12/1/2000,,,,,,,$3B,"$82,537 ",3.30%,"$2,685 ",,0.004,0.42,,,,,43%,1,,,,0.0M,100.00%,,
Montenegro,Europe,12/1/2000,0.01,,,,,,$1B,"$1,610 ",7.50%,$121 ,,0.013,,,74,77,71,,1,0.213,0.673,0.113,0.6M,58.50%,,
Netherlands,Europe,12/1/2000,0.01,,165363,,,73223,$385B,"$24,175 ",8.00%,"$1,932 ",,0.005,0.44,0.048,79,81,76,68%,1,0.186,0.679,0.136,15.9M,76.80%,$11B,$14B
Norway,Europe,12/1/2000,0.01,,38808,,,26092,$168B,"$37,408 ",9.10%,"$3,432 ",,0.004,0.52,0.089,79,81,76,72%,1,0.2,0.648,0.152,4.5M,76.10%,$3B,$5B
Poland,Europe,12/1/2000,0.01,,301691,,,89116,$171B,"$4,470 ",5.50%,$247 ,,0.008,0.07,0.2,74,78,70,18%,1,0.194,0.684,0.123,38.3M,61.70%,$6B,$3B
Portugal,Europe,12/1/2000,0.01,,62966,,,24673,$117B,"$11,370 ",9.30%,"$1,070 ",,0.006,0.16,,77,80,73,65%,1,0.162,0.676,0.162,10.3M,54.40%,$6B,$3B
Romania,Europe,12/1/2000,0.01,,89985,,,36228,$37B,"$1,662 ",4.30%,$72 ,,0.023,0.04,0.539,72,75,68,11%,1,0.186,0.68,0.134,22.4M,53.00%,$0B,$0B
Russia,Europe,12/1/2000,0.01,,1558112,,,619265,$260B,"$1,774 ",5.40%,$96 ,,0.02,0.02,0.244,66,72,59,2%,1,0.182,0.694,0.124,146.6M,73.40%,$3B,$9B
San Marino,Europe,12/1/2000,,,,,,,$1B,"$28,696 ",5.30%,"$2,161 ",,0.005,0.49,0.092,81,84,77,54%,1,,,,0.0M,93.40%,,
Serbia,Europe,12/1/2000,0.01,,,,,13728,$6B,$809 ,7.40%,$51 ,,0.011,,0.063,73,75,70,,1,0.202,0.669,0.129,7.5M,53.20%,,
Slovakia,Europe,12/1/2000,0.01,,37312,,,17743,$29B,"$5,330 ",5.50%,$208 ,,0.01,0.09,0.149,73,77,69,23%,1,0.197,0.689,0.114,5.4M,56.20%,$0B,$0B
Slovenia,Europe,12/1/2000,0.01,,14265,,,6413,$20B,"$10,045 ",8.30%,$831 ,,0.005,0.15,0.158,76,79,72,61%,1,0.159,0.7,0.141,2.0M,50.80%,$1B,$1B
Spain,Europe,12/1/2000,0.01,,294434,,,121856,$580B,"$14,405 ",7.20%,"$1,045 ",,0.005,0.14,0.052,80,83,76,60%,1,0.148,0.684,0.169,40.3M,76.30%,$33B,$8B
Sweden,Europe,12/1/2000,0.01,,49794,,,47556,$247B,"$27,840 ",8.20%,"$2,282 ",,0.003,0.46,0.058,80,82,77,72%,1,0.184,0.643,0.173,8.9M,84.00%,$5B,$9B
Switzerland,Europe,12/1/2000,0.01,,39050,,,25005,$256B,"$35,634 ",9.90%,"$3,541 ",,0.005,0.47,0.043,80,83,77,65%,1,0.174,0.673,0.153,7.2M,73.30%,$9B,$7B
Türkiye,Europe,12/1/2000,0.02,,216148,,,76348,$267B,"$4,226 ",4.90%,$196 ,,0.034,0.04,,70,74,66,26%,1,0.307,0.634,0.06,63.2M,64.70%,$8B,$2B
Ukraine,Europe,12/1/2000,0.01,,320774,,,133794,$31B,$636 ,5.60%,$36 ,,0.016,0.01,0.415,68,74,62,2%,1,0.175,0.688,0.138,49.2M,67.10%,$1B,$1B
United Kingdom,Europe,12/1/2000,0.01,,543662,,,222940,"$1,490B","$25,300 ",7.00%,"$1,761 ",,0.006,0.27,0.06,78,80,75,74%,1,0.19,0.652,0.158,58.9M,78.70%,$30B,$47B
Bahrain,Middle East,12/1/2000,0.02,,18643,,,5865,$9B,"$13,563 ",3.50%,$476 ,,0.011,0.06,0.116,75,76,74,31%,1,0.308,0.667,0.024,0.7M,88.40%,$1B,$0B
